file_id,image_id,video_id,location,cam_trap,species,num_animal,year,month,day,hour,minute,second,file_path,file_name,file_type,data_type,species_new,num_animal_new,file_path_new,file_name_new,species_binary,genus,family,order,class,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,count,order_class
1024,290.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,29.0,23.0,36.0,13.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 29 23 36 13.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0290_brazilAMLD_CT01_CuniculusPaca_01_2018_09_29_23_36_13.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,val,test,train,train,304,Rodentia
1025,291.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,29.0,23.0,40.0,9.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 29 23 40 09.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0291_brazilAMLD_CT01_CuniculusPaca_01_2018_09_29_23_40_09.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train,304,Rodentia
1026,292.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,30.0,0.0,34.0,55.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 30 00 34 55.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0292_brazilAMLD_CT01_CuniculusPaca_01_2018_09_30_00_34_55.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train,304,Rodentia
1027,293.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,9.0,30.0,0.0,42.0,37.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 09 30 00 42 37.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/val,val_0293_brazilAMLD_CT01_CuniculusPaca_01_2018_09_30_00_42_37.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train,304,Rodentia
1028,294.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,1.0,21.0,30.0,51.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 01 21 30 51.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0294_brazilAMLD_CT01_CuniculusPaca_01_2018_10_01_21_30_51.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,val,test,train,train,train,304,Rodentia
1029,295.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,4.0,3.0,27.0,40.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 04 03 27 40.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0295_brazilAMLD_CT01_CuniculusPaca_01_2018_10_04_03_27_40.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,val,test,train,304,Rodentia
1030,296.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,5.0,20.0,3.0,44.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 05 20 03 44.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0296_brazilAMLD_CT01_CuniculusPaca_01_2018_10_05_20_03_44.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,val,test,train,train,train,train,304,Rodentia
1031,297.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,6.0,1.0,1.0,17.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 06 01 01 17.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/val,val_0297_brazilAMLD_CT01_CuniculusPaca_01_2018_10_06_01_01_17.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train,304,Rodentia
1032,298.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,6.0,1.0,3.0,21.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 06 01 03 21.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0298_brazilAMLD_CT01_CuniculusPaca_01_2018_10_06_01_03_21.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,train,val,test,304,Rodentia
1033,299.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,6.0,3.0,43.0,10.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 06 03 43 10.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0299_brazilAMLD_CT01_CuniculusPaca_01_2018_10_06_03_43_10.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train,304,Rodentia
1034,300.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,7.0,19.0,55.0,27.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 07 19 55 27.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0300_brazilAMLD_CT01_CuniculusPaca_01_2018_10_07_19_55_27.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,val,test,train,train,train,304,Rodentia
1035,301.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,9.0,21.0,52.0,16.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 09 21 52 16.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0301_brazilAMLD_CT01_CuniculusPaca_01_2018_10_09_21_52_16.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train,304,Rodentia
1036,302.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,10.0,2.0,16.0,21.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 10 02 16 21.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0302_brazilAMLD_CT01_CuniculusPaca_01_2018_10_10_02_16_21.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train,304,Rodentia
1037,303.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,14.0,23.0,26.0,37.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 14 23 26 37.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0303_brazilAMLD_CT01_CuniculusPaca_01_2018_10_14_23_26_37.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train,304,Rodentia
1038,304.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,15.0,3.0,28.0,20.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 15 03 28 20.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0304_brazilAMLD_CT01_CuniculusPaca_01_2018_10_15_03_28_20.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train,304,Rodentia
1039,305.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,15.0,21.0,56.0,4.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 15 21 56 04.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0305_brazilAMLD_CT01_CuniculusPaca_01_2018_10_15_21_56_04.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,val,test,train,304,Rodentia
1040,306.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,16.0,2.0,5.0,56.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 16 02 05 56.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/test,test_0306_brazilAMLD_CT01_CuniculusPaca_01_2018_10_16_02_05_56.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,test,train,train,train,train,train,train,train,train,val,304,Rodentia
1041,307.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,16.0,2.0,9.0,10.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 16 02 09 10.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0307_brazilAMLD_CT01_CuniculusPaca_01_2018_10_16_02_09_10.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,val,test,train,train,train,train,304,Rodentia
1042,308.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,19.0,0.0,59.0,44.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 19 00 59 44.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0308_brazilAMLD_CT01_CuniculusPaca_01_2018_10_19_00_59_44.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train,304,Rodentia
1043,309.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,21.0,19.0,13.0,2.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 21 19 13 02.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0309_brazilAMLD_CT01_CuniculusPaca_01_2018_10_21_19_13_02.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,val,test,train,train,304,Rodentia
1044,310.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,26.0,19.0,33.0,43.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 26 19 33 43.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0310_brazilAMLD_CT01_CuniculusPaca_01_2018_10_26_19_33_43.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,val,test,train,train,304,Rodentia
1045,311.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,26.0,19.0,36.0,17.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 26 19 36 17.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0311_brazilAMLD_CT01_CuniculusPaca_01_2018_10_26_19_36_17.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train,304,Rodentia
1046,312.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,30.0,20.0,39.0,56.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 30 20 39 56.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0312_brazilAMLD_CT01_CuniculusPaca_01_2018_10_30_20_39_56.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,train,val,test,304,Rodentia
1047,313.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,30.0,22.0,10.0,12.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 30 22 10 12.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0313_brazilAMLD_CT01_CuniculusPaca_01_2018_10_30_22_10_12.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train,304,Rodentia
1048,314.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,30.0,22.0,14.0,52.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 30 22 14 52.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0314_brazilAMLD_CT01_CuniculusPaca_01_2018_10_30_22_14_52.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,val,test,train,train,train,train,304,Rodentia
1049,315.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,10.0,31.0,22.0,31.0,6.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 10 31 22 31 06.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0315_brazilAMLD_CT01_CuniculusPaca_01_2018_10_31_22_31_06.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,val,test,train,train,304,Rodentia
1050,316.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,11.0,1.0,23.0,55.0,32.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 11 01 23 55 32.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/test,test_0316_brazilAMLD_CT01_CuniculusPaca_01_2018_11_01_23_55_32.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,test,train,train,train,train,train,train,train,train,val,304,Rodentia
1051,317.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,11.0,2.0,0.0,6.0,27.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 11 02 00 06 27.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0317_brazilAMLD_CT01_CuniculusPaca_01_2018_11_02_00_06_27.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train,304,Rodentia
1052,318.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,11.0,5.0,23.0,47.0,48.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 11 05 23 47 48.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0318_brazilAMLD_CT01_CuniculusPaca_01_2018_11_05_23_47_48.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,train,val,test,304,Rodentia
1053,319.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,11.0,10.0,1.0,10.0,2.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 11 10 01 10 02.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0319_brazilAMLD_CT01_CuniculusPaca_01_2018_11_10_01_10_02.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,train,val,test,304,Rodentia
1054,320.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,11.0,13.0,1.0,15.0,26.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 11 13 01 15 26.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0320_brazilAMLD_CT01_CuniculusPaca_01_2018_11_13_01_15_26.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train,304,Rodentia
1055,321.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,11.0,17.0,1.0,33.0,54.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 11 17 01 33 54.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0321_brazilAMLD_CT01_CuniculusPaca_01_2018_11_17_01_33_54.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,val,test,train,train,train,304,Rodentia
1056,322.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,11.0,27.0,20.0,40.0,43.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 11 27 20 40 43.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0322_brazilAMLD_CT01_CuniculusPaca_01_2018_11_27_20_40_43.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train,304,Rodentia
1057,323.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,11.0,27.0,20.0,51.0,46.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 11 27 20 51 46.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/test,test_0323_brazilAMLD_CT01_CuniculusPaca_01_2018_11_27_20_51_46.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,test,train,train,train,train,train,train,train,train,val,304,Rodentia
1058,324.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,12.0,1.0,23.0,31.0,27.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 12 01 23 31 27.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/val,val_0324_brazilAMLD_CT01_CuniculusPaca_01_2018_12_01_23_31_27.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train,304,Rodentia
1059,325.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,12.0,1.0,23.0,31.0,54.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 12 01 23 31 54.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0325_brazilAMLD_CT01_CuniculusPaca_01_2018_12_01_23_31_54.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train,304,Rodentia
1060,326.0,,brazilAMLD,CT01,CuniculusPaca,01,2018.0,12.0,1.0,23.0,48.0,36.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2018 12 01 23 48 36.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0326_brazilAMLD_CT01_CuniculusPaca_01_2018_12_01_23_48_36.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,train,train,train,train,val,test,304,Rodentia
1061,327.0,,brazilAMLD,CT01,CuniculusPaca,01,2019.0,1.0,2.0,0.0,3.0,25.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2019 01 02 00 03 25.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/train,train_0327_brazilAMLD_CT01_CuniculusPaca_01_2019_01_02_00_03_25.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,train,train,train,train,val,test,train,train,train,train,304,Rodentia
1062,328.0,,brazilAMLD,CT01,CuniculusPaca,01,2019.0,1.0,2.0,22.0,52.0,35.0,./data/raw/brazilAMLD/CT01/CuniculusPaca/01,2019 01 02 22 52 35.JPG,jpg,image,CuniculusPaca,1,./data/interim/image/val,val_0328_brazilAMLD_CT01_CuniculusPaca_01_2019_01_02_22_52_35.jpg,Animal,Cuniculus,Cuniculidae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train,304,Rodentia
