file_id,image_id,video_id,location,cam_trap,species,num_animal,year,month,day,hour,minute,second,file_path,file_name,file_type,data_type,species_new,num_animal_new,file_path_new,file_name_new,species_binary,genus,family,order,class,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10
10,3,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,22,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035429.zip,txt,bbox,Guerlinguetus,1,./data/interim/bbox/txt/train,train_0003_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_22.txt,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train
11,4,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,24,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035429.zip,txt,bbox,Guerlinguetus,1,./data/interim/bbox/txt/test,test_0004_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_24.txt,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,test,train,train,train,train,train,train,train,train,val
12,5,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,26,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035429.zip,txt,bbox,Guerlinguetus,1,./data/interim/bbox/txt/train,train_0005_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_26.txt,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train
13,0,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,3,27,7,26,16,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035429.zip,txt,bbox,Guerlinguetus,1,./data/interim/bbox/txt/train,train_0000_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_03_27_07_26_16.txt,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,train,val,test,train,train,train,train
14,1,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,10,8,47,30,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035429.zip,txt,bbox,Guerlinguetus,1,./data/interim/bbox/txt/train,train_0001_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_10_08_47_30.txt,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train
15,2,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,20,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,Guerlinguetus,1,./data/interim/bbox/xml/val,val_0002_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_20.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train
16,3,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,22,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,Guerlinguetus,1,./data/interim/bbox/xml/train,train_0003_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_22.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train
17,4,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,24,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,Guerlinguetus,1,./data/interim/bbox/xml/test,test_0004_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_24.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,test,train,train,train,train,train,train,train,train,val
18,5,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,26,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,Guerlinguetus,1,./data/interim/bbox/xml/train,train_0005_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_26.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train
19,0,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,3,27,7,26,16,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,Guerlinguetus,1,./data/interim/bbox/xml/train,train_0000_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_03_27_07_26_16.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,train,val,test,train,train,train,train
20,1,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,10,8,47,30,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035435.zip,xml,bbox,Guerlinguetus,1,./data/interim/bbox/xml/train,train_0001_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_10_08_47_30.xml,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train
21,2,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,20,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,Guerlinguetus,1,./data/interim/bbox/csv/val,val_0002_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_20.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,val,test,train,train,train,train,train,train,train,train
22,3,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,22,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,Guerlinguetus,1,./data/interim/bbox/csv/train,train_0003_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_22.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,val,test,train,train,train,train,train,train
23,4,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,24,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,Guerlinguetus,1,./data/interim/bbox/csv/test,test_0004_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_24.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,test,train,train,train,train,train,train,train,train,val
24,5,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,11,8,48,26,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,Guerlinguetus,1,./data/interim/bbox/csv/train,train_0005_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_11_08_48_26.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,val,test,train,train,train,train,train
25,0,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,3,27,7,26,16,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,Guerlinguetus,1,./data/interim/bbox/csv/train,train_0000_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_03_27_07_26_16.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,train,train,train,val,test,train,train,train,train
26,1,,brazilAMLD,SSAMLD2_2,Guerlinguetus,1,2019,4,10,8,47,30,./data/raw/brazilAMLD/SSAMLD2_2/Guerlinguetus/01,labels_ssamld2_2_guerlinguetus_01_20200830035438.csv,csv,bbox,Guerlinguetus,1,./data/interim/bbox/csv/train,train_0001_brazilAMLD_SSAMLD2_2_Guerlinguetus_01_2019_04_10_08_47_30.csv,Animal,Sciurus,Sciuridae,Rodentia,Mammalia,train,val,test,train,train,train,train,train,train,train
27,6,,brazilAMLD,SSAMLD2_2,MarmosopsIncanus,1,2019,2,8,21,30,49,./data/raw/brazilAMLD/SSAMLD2_2/MarmosopsIncanus/01,2019 02 08 21 30 49.JPG,jpg,image,MarmosopsIncanus,1,./data/interim/image/val,val_0006_brazilAMLD_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_49.jpg,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,val,test,train,train,train,train,train,train,train,train
28,7,,brazilAMLD,SSAMLD2_2,MarmosopsIncanus,1,2019,2,8,21,30,51,./data/raw/brazilAMLD/SSAMLD2_2/MarmosopsIncanus/01,2019 02 08 21 30 51.JPG,jpg,image,MarmosopsIncanus,1,./data/interim/image/train,train_0007_brazilAMLD_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_51.jpg,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,train,train,train,train,train,train,val,test,train,train
29,6,,brazilAMLD,SSAMLD2_2,MarmosopsIncanus,1,2019,2,8,21,30,49,./data/raw/brazilAMLD/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095716.zip,txt,bbox,MarmosopsIncanus,1,./data/interim/bbox/txt/val,val_0006_brazilAMLD_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_49.txt,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,val,test,train,train,train,train,train,train,train,train
30,7,,brazilAMLD,SSAMLD2_2,MarmosopsIncanus,1,2019,2,8,21,30,51,./data/raw/brazilAMLD/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095716.zip,txt,bbox,MarmosopsIncanus,1,./data/interim/bbox/txt/train,train_0007_brazilAMLD_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_51.txt,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,train,train,train,train,train,train,val,test,train,train
31,6,,brazilAMLD,SSAMLD2_2,MarmosopsIncanus,1,2019,2,8,21,30,49,./data/raw/brazilAMLD/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095719.zip,xml,bbox,MarmosopsIncanus,1,./data/interim/bbox/xml/val,val_0006_brazilAMLD_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_49.xml,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,val,test,train,train,train,train,train,train,train,train
32,7,,brazilAMLD,SSAMLD2_2,MarmosopsIncanus,1,2019,2,8,21,30,51,./data/raw/brazilAMLD/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095719.zip,xml,bbox,MarmosopsIncanus,1,./data/interim/bbox/xml/train,train_0007_brazilAMLD_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_51.xml,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,train,train,train,train,train,train,val,test,train,train
33,6,,brazilAMLD,SSAMLD2_2,MarmosopsIncanus,1,2019,2,8,21,30,49,./data/raw/brazilAMLD/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095722.csv,csv,bbox,MarmosopsIncanus,1,./data/interim/bbox/csv/val,val_0006_brazilAMLD_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_49.csv,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,val,test,train,train,train,train,train,train,train,train
34,7,,brazilAMLD,SSAMLD2_2,MarmosopsIncanus,1,2019,2,8,21,30,51,./data/raw/brazilAMLD/SSAMLD2_2/MarmosopsIncanus/01,labels_ssamld2_2_m_incanus_01_20200830095722.csv,csv,bbox,MarmosopsIncanus,1,./data/interim/bbox/csv/train,train_0007_brazilAMLD_SSAMLD2_2_MarmosopsIncanus_01_2019_02_08_21_30_51.csv,Animal,Marmosops,Didelphidae,Didelphimorphia,Mammalia,train,train,train,train,train,train,val,test,train,train
35,8,,brazilAMLD,SSAMLD2_2,Ghost,,2018,8,21,3,54,28,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2018 08 21 03 54 28.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0008_brazilAMLD_SSAMLD2_2_Ghost_01_2018_08_21_03_54_28.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,train,val,test,train,train,train,train,train,train
36,9,,brazilAMLD,SSAMLD2_2,Ghost,,2019,1,11,2,48,12,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 01 11 02 48 12.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0009_brazilAMLD_SSAMLD2_2_Ghost_01_2019_01_11_02_48_12.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,val,test,train,train,train,train,train,train,train
37,10,,brazilAMLD,SSAMLD2_2,Ghost,,2019,2,12,14,4,53,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 02 12 14 04 53.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0010_brazilAMLD_SSAMLD2_2_Ghost_01_2019_02_12_14_04_53.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,val,test,train,train,train,train,train,train,train
38,11,,brazilAMLD,SSAMLD2_2,Ghost,,2019,2,26,0,17,59,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 02 26 00 17 59.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0011_brazilAMLD_SSAMLD2_2_Ghost_01_2019_02_26_00_17_59.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,train,val,test,train,train,train,train,train,train
39,12,,brazilAMLD,SSAMLD2_2,Ghost,,2019,3,6,4,11,46,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 03 06 04 11 46.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0012_brazilAMLD_SSAMLD2_2_Ghost_01_2019_03_06_04_11_46.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,train,train,train,train,train,train,val,test,train
40,13,,brazilAMLD,SSAMLD2_2,Ghost,,2019,3,6,4,11,48,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 03 06 04 11 48.JPG,jpg,image,Ghost,1,./data/interim/image/test,test_0013_brazilAMLD_SSAMLD2_2_Ghost_01_2019_03_06_04_11_48.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,test,train,train,train,train,train,train,train,train,val
41,14,,brazilAMLD,SSAMLD2_2,Ghost,,2019,3,21,20,22,13,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 03 21 20 22 13.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0014_brazilAMLD_SSAMLD2_2_Ghost_01_2019_03_21_20_22_13.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,train,train,train,train,val,test,train,train,train
42,15,,brazilAMLD,SSAMLD2_2,Ghost,,2019,4,10,8,47,33,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 04 10 08 47 33.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0015_brazilAMLD_SSAMLD2_2_Ghost_01_2019_04_10_08_47_33.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,train,train,train,train,train,train,train,val,test
43,16,,brazilAMLD,SSAMLD2_2,Ghost,,2019,4,21,8,49,27,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 04 21 08 49 27.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0016_brazilAMLD_SSAMLD2_2_Ghost_01_2019_04_21_08_49_27.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,train,train,val,test,train,train,train,train,train
44,17,,brazilAMLD,SSAMLD2_2,Ghost,,2019,5,23,7,55,19,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 05 23 07 55 19.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0017_brazilAMLD_SSAMLD2_2_Ghost_01_2019_05_23_07_55_19.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,train,train,val,test,train,train,train,train,train
45,18,,brazilAMLD,SSAMLD2_2,Ghost,,2019,6,1,9,28,43,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 06 01 09 28 43.JPG,jpg,image,Ghost,1,./data/interim/image/val,val_0018_brazilAMLD_SSAMLD2_2_Ghost_01_2019_06_01_09_28_43.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,val,test,train,train,train,train,train,train,train,train
46,19,,brazilAMLD,SSAMLD2_2,Ghost,,2019,6,7,7,18,25,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 06 07 07 18 25.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0019_brazilAMLD_SSAMLD2_2_Ghost_01_2019_06_07_07_18_25.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,train,train,train,train,train,val,test,train,train
47,20,,brazilAMLD,SSAMLD2_2,Ghost,,2019,6,23,19,6,3,./data/raw/brazilAMLD/SSAMLD2_2/Ghost,2019 06 23 19 06 03.JPG,jpg,image,Ghost,1,./data/interim/image/train,train_0020_brazilAMLD_SSAMLD2_2_Ghost_01_2019_06_23_19_06_03.jpg,Ghost,Ghost,Ghost,Ghost,Ghost,train,train,train,train,val,test,train,train,train,train
48,21,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,16,6,2,37,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,2019 05 16 06 02 37.JPG,jpg,image,LeopardusWiedii,1,./data/interim/image/train,train_0021_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_37.jpg,Animal,Leopardus,Felidae,Carnivora,Mammalia,train,train,train,train,train,train,train,val,test,train
49,22,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,16,6,2,39,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,2019 05 16 06 02 39.JPG,jpg,image,LeopardusWiedii,1,./data/interim/image/test,test_0022_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_39.jpg,Animal,Leopardus,Felidae,Carnivora,Mammalia,test,train,train,train,train,train,train,train,train,val
50,23,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,16,6,2,41,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,2019 05 16 06 02 41.JPG,jpg,image,LeopardusWiedii,1,./data/interim/image/train,train_0023_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_41.jpg,Animal,Leopardus,Felidae,Carnivora,Mammalia,train,train,train,train,train,val,test,train,train,train
51,24,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,20,3,4,27,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,2019 05 20 03 04 27.JPG,jpg,image,LeopardusWiedii,1,./data/interim/image/train,train_0024_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_20_03_04_27.jpg,Animal,Leopardus,Felidae,Carnivora,Mammalia,train,train,train,train,train,train,train,train,val,test
52,21,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,16,6,2,37,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094318.zip,txt,bbox,LeopardusWiedii,1,./data/interim/bbox/txt/train,train_0021_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_37.txt,Animal,Leopardus,Felidae,Carnivora,Mammalia,train,train,train,train,train,train,train,val,test,train
53,22,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,16,6,2,39,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094318.zip,txt,bbox,LeopardusWiedii,1,./data/interim/bbox/txt/test,test_0022_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_39.txt,Animal,Leopardus,Felidae,Carnivora,Mammalia,test,train,train,train,train,train,train,train,train,val
54,23,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,16,6,2,41,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094318.zip,txt,bbox,LeopardusWiedii,1,./data/interim/bbox/txt/train,train_0023_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_41.txt,Animal,Leopardus,Felidae,Carnivora,Mammalia,train,train,train,train,train,val,test,train,train,train
55,24,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,20,3,4,27,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094318.zip,txt,bbox,LeopardusWiedii,1,./data/interim/bbox/txt/train,train_0024_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_20_03_04_27.txt,Animal,Leopardus,Felidae,Carnivora,Mammalia,train,train,train,train,train,train,train,train,val,test
56,21,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,16,6,2,37,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094321.zip,xml,bbox,LeopardusWiedii,1,./data/interim/bbox/xml/train,train_0021_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_37.xml,Animal,Leopardus,Felidae,Carnivora,Mammalia,train,train,train,train,train,train,train,val,test,train
57,22,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,16,6,2,39,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094321.zip,xml,bbox,LeopardusWiedii,1,./data/interim/bbox/xml/test,test_0022_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_39.xml,Animal,Leopardus,Felidae,Carnivora,Mammalia,test,train,train,train,train,train,train,train,train,val
58,23,,brazilAMLD,SSAMLD2_2,LeopardusWiedii,1,2019,5,16,6,2,41,./data/raw/brazilAMLD/SSAMLD2_2/LeopardusWiedii/01,labels_ssamld2_2_l_wiedii_01_20200830094321.zip,xml,bbox,LeopardusWiedii,1,./data/interim/bbox/xml/train,train_0023_brazilAMLD_SSAMLD2_2_LeopardusWiedii_01_2019_05_16_06_02_41.xml,Animal,Leopardus,Felidae,Carnivora,Mammalia,train,train,train,train,train,val,test,train,train,train
